datetimeäáš;value;station_name;nat_abbr;wigos_id;e_coord;n_coord;latitude;longitude;installation_height;param_short
2022-03-06T22:00:00Z;1012.4;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;pp0qnhh0
2022-03-08T20:00:00Z;10.4;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h1
2022-03-08T09:00:00Z;60;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;sre000h0
2022-03-06T22:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771031.3;1184825.6;46.79261944;9.679016667;1880;rre150h0
2022-03-06T22:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;sre000h0
2022-03-07T09:00:00Z;6.5;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h1
2022-03-07T09:00:00Z;459;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;gre000h0
2022-03-04T12:00:00Z;-3;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hx
2022-03-07T20:00:00Z;3.2;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h0
2022-03-07T09:00:00Z;806.3;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-07T09:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771031.3;1184825.6;46.79261944;9.679016667;1880;rre150h0
2022-03-07T09:00:00Z;60;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;sre000h0
2022-03-07T20:00:00Z;1482.7;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;ppz850h0
2022-03-08T07:00:00Z;326;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;dkl010h0
2022-03-08T07:00:00Z;1.8;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h0
2022-03-07T20:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;sre000h0
2022-03-07T09:00:00Z;68.5;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;ure200h0
2022-03-03T11:00:00Z;6.8;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h0
2022-03-07T20:00:00Z;-7.8;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-08T07:00:00Z;807;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-07T20:00:00Z;50.9;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;ure200h0
2022-03-03T11:00:00Z;1468.4;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;ppz850h0
2022-03-03T11:00:00Z;808;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-05T09:00:00Z;455;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;gre000h0
